runID,NUESP,year,mittel,sd,lo,up,STI,STI_lo,STI_up
2025_BDM_v3,1,2003,-1.68,0.17,-2.066,-1.383,95.94,68.67,122.46
2025_BDM_v3,1,2004,-1.517,0.164,-1.793,-1.134,109.87,87.15,148.66
2025_BDM_v3,1,2005,-1.606,0.156,-1.944,-1.278,102.08,76.47,133.07
2025_BDM_v3,1,2006,-1.717,0.187,-2.161,-1.436,92.98,63.09,117.36
2025_BDM_v3,1,2007,-1.641,0.161,-1.992,-1.331,99.13,73.31,127.63
2025_BDM_v3,1,2008,-1.609,0.162,-1.957,-1.282,101.82,75.6,132.65
2025_BDM_v3,1,2009,-1.566,0.153,-1.852,-1.236,105.52,82.83,137.49
2025_BDM_v3,1,2010,-1.708,0.184,-2.155,-1.413,93.7,63.43,119.55
2025_BDM_v3,1,2011,-1.534,0.166,-1.827,-1.164,108.34,84.64,145.31
2025_BDM_v3,1,2012,-1.553,0.171,-1.878,-1.151,106.66,80.99,146.76
2025_BDM_v3,1,2013,-1.56,0.161,-1.865,-1.218,106.05,81.91,139.42
2025_BDM_v3,1,2014,-1.487,0.175,-1.774,-1.083,112.6,88.58,154.47
2025_BDM_v3,1,2015,-1.725,0.194,-2.199,-1.422,92.36,60.97,118.69
2025_BDM_v3,1,2016,-1.586,0.146,-1.88,-1.271,103.79,80.85,133.8
2025_BDM_v3,1,2017,-1.639,0.161,-1.992,-1.331,99.3,73.31,127.63
2025_BDM_v3,1,2018,-1.552,0.156,-1.842,-1.217,106.75,83.55,139.52
2025_BDM_v3,1,2019,-1.592,0.153,-1.902,-1.268,103.27,79.32,134.11
2025_BDM_v3,1,2020,-1.706,0.175,-2.13,-1.416,93.85,64.87,119.26
2025_BDM_v3,1,2021,-1.688,0.166,-2.066,-1.391,95.29,68.67,121.68
2025_BDM_v3,1,2022,-1.593,0.159,-1.92,-1.264,103.19,78.09,134.53
2025_BDM_v3,1,2023,-1.593,0.158,-1.921,-1.261,103.19,78.02,134.84
2025_BDM_v3,31151,2003,3.473,0.525,2.559,4.6,102.95,98.52,105.08
2025_BDM_v3,31151,2004,3.314,0.485,2.474,4.333,102.42,97.89,104.77
2025_BDM_v3,31151,2005,2.772,0.402,2.054,3.651,99.89,94.08,103.45
2025_BDM_v3,31151,2006,2.175,0.336,1.554,2.864,95.31,87.62,100.41
2025_BDM_v3,31151,2007,2.696,0.41,1.933,3.491,99.43,92.72,103
2025_BDM_v3,31151,2008,2.746,0.4,1.998,3.577,99.74,93.47,103.25
2025_BDM_v3,31151,2009,2.643,0.398,1.915,3.469,99.09,92.51,102.93
2025_BDM_v3,31151,2010,1.51,0.293,0.949,2.097,86.94,76.52,94.53
2025_BDM_v3,31151,2011,3.094,0.449,2.259,4.048,101.54,96.1,104.32
2025_BDM_v3,31151,2012,3.547,0.557,2.559,4.811,103.17,98.52,105.28
2025_BDM_v3,31151,2013,2.472,0.364,1.789,3.2,97.88,90.94,101.98
2025_BDM_v3,31151,2014,3.107,0.45,2.297,4.047,101.6,96.44,104.32
2025_BDM_v3,31151,2015,2.618,0.385,1.906,3.367,98.92,92.4,102.6
2025_BDM_v3,31151,2016,2.419,0.348,1.765,3.103,97.47,90.63,101.58
2025_BDM_v3,31151,2017,3.542,0.569,2.567,4.828,103.15,98.57,105.3
2025_BDM_v3,31151,2018,2.75,0.399,1.985,3.58,99.76,93.32,103.26
2025_BDM_v3,31151,2019,3.577,0.542,2.655,4.763,103.25,99.17,105.24
2025_BDM_v3,31151,2020,3.557,0.553,2.642,4.833,103.2,99.08,105.3
2025_BDM_v3,31151,2021,3.316,0.475,2.471,4.357,102.42,97.87,104.8
2025_BDM_v3,31151,2022,2.795,0.395,2.086,3.634,100.03,94.42,103.41
2025_BDM_v3,31151,2023,3.107,0.458,2.304,4.121,101.6,96.5,104.45
2025_BDM_v3,31050,2003,0.803,0.193,0.448,1.197,101.24,89.44,112.58
2025_BDM_v3,31050,2004,0.996,0.221,0.625,1.465,107.05,95.48,119.07
2025_BDM_v3,31050,2005,0.713,0.173,0.374,1.066,98.37,86.84,109.04
2025_BDM_v3,31050,2006,0.658,0.168,0.324,0.987,96.57,85.06,106.79
2025_BDM_v3,31050,2007,0.664,0.177,0.322,1.02,96.77,84.99,107.74
2025_BDM_v3,31050,2008,0.546,0.184,0.179,0.89,92.82,79.84,103.91
2025_BDM_v3,31050,2009,0.928,0.204,0.572,1.349,105.06,93.7,116.39
2025_BDM_v3,31050,2010,0.583,0.179,0.224,0.923,94.07,81.47,104.91
2025_BDM_v3,31050,2011,0.382,0.195,-0.017,0.736,87.13,72.67,99.11
2025_BDM_v3,31050,2012,0.548,0.171,0.204,0.866,92.89,80.74,103.19
2025_BDM_v3,31050,2013,0.607,0.168,0.275,0.927,94.88,83.31,105.03
2025_BDM_v3,31050,2014,0.656,0.174,0.3,1.001,96.51,84.21,107.19
2025_BDM_v3,31050,2015,0.38,0.196,-0.031,0.729,87.05,72.16,98.89
2025_BDM_v3,31050,2016,0.815,0.182,0.491,1.199,101.61,90.93,112.63
2025_BDM_v3,31050,2017,0.742,0.18,0.397,1.118,99.3,87.65,110.47
2025_BDM_v3,31050,2018,0.74,0.171,0.43,1.091,99.24,88.81,109.73
2025_BDM_v3,31050,2019,0.696,0.175,0.353,1.057,97.82,86.1,108.79
2025_BDM_v3,31050,2020,0.523,0.179,0.136,0.852,92.04,78.27,102.76
2025_BDM_v3,31050,2021,0.532,0.177,0.176,0.867,92.34,79.73,103.22
2025_BDM_v3,31050,2022,0.388,0.193,-0.005,0.718,87.34,73.11,98.53
2025_BDM_v3,31050,2023,0.772,0.183,0.439,1.165,100.26,89.13,111.74
2025_BDM_v3,31152,2003,-4.466,0.419,-5.38,-3.724,92.54,37.35,191.94
2025_BDM_v3,31152,2004,-4.361,0.387,-5.158,-3.636,102.65,46.59,209.14
2025_BDM_v3,31152,2005,-4.38,0.367,-5.132,-3.682,100.74,47.81,199.97
2025_BDM_v3,31152,2006,-4.287,0.376,-4.977,-3.488,110.43,55.77,241.51
2025_BDM_v3,31152,2007,-4.454,0.394,-5.288,-3.803,93.64,40.94,177.68
2025_BDM_v3,31152,2008,-4.368,0.369,-5.076,-3.643,101.94,50.54,207.72
2025_BDM_v3,31152,2009,-4.282,0.366,-4.938,-3.513,110.97,57.97,235.72
2025_BDM_v3,31152,2010,-4.47,0.401,-5.412,-3.805,92.17,36.18,177.33
2025_BDM_v3,31152,2011,-4.19,0.396,-4.857,-3.306,121.51,62.82,288.02
2025_BDM_v3,31152,2012,-4.479,0.409,-5.421,-3.777,91.35,35.86,182.25
2025_BDM_v3,31152,2013,-4.387,0.372,-5.136,-3.681,100.05,47.62,200.16
2025_BDM_v3,31152,2014,-4.375,0.374,-5.107,-3.655,101.24,49.01,205.3
2025_BDM_v3,31152,2015,-4.369,0.383,-5.191,-3.645,101.84,45.08,207.31
2025_BDM_v3,31152,2016,-4.382,0.374,-5.191,-3.678,100.54,45.08,200.75
2025_BDM_v3,31152,2017,-4.368,0.374,-5.108,-3.668,101.94,48.96,202.72
2025_BDM_v3,31152,2018,-4.273,0.382,-4.973,-3.454,111.96,55.99,249.61
2025_BDM_v3,31152,2019,-4.374,0.365,-5.132,-3.694,101.34,47.81,197.64
2025_BDM_v3,31152,2020,-4.375,0.388,-5.215,-3.639,101.24,44.02,208.53
2025_BDM_v3,31152,2021,-4.376,0.382,-5.201,-3.675,101.14,44.64,201.34
2025_BDM_v3,31152,2022,-4.466,0.414,-5.441,-3.747,92.54,35.15,187.67
2025_BDM_v3,31152,2023,-4.375,0.375,-5.115,-3.633,101.24,48.62,209.75
2025_BDM_v3,31153,2003,-2.271,0.307,-2.948,-1.741,87.31,46.5,139.22
2025_BDM_v3,31153,2004,-2.316,0.306,-3.005,-1.808,83.81,44.05,131.47
2025_BDM_v3,31153,2005,-2.339,0.308,-3.021,-1.837,82.07,43.38,128.23
2025_BDM_v3,31153,2006,-1.699,0.242,-2.13,-1.2,144.27,99.12,216.02
2025_BDM_v3,31153,2007,-2.092,0.262,-2.665,-1.587,102.54,60.73,158.47
2025_BDM_v3,31153,2008,-2.245,0.278,-2.847,-1.764,89.39,51.17,136.52
2025_BDM_v3,31153,2009,-2.215,0.268,-2.798,-1.753,91.84,53.6,137.81
2025_BDM_v3,31153,2010,-2.33,0.299,-3.006,-1.838,82.75,44.01,128.12
2025_BDM_v3,31153,2011,-1.911,0.243,-2.405,-1.446,120.26,77.26,177.89
